{'Type': 'CPU', 'Name': 'AMD Ryzen 5 4600H with Radeon Graphics', 'CurrentClockSpeed': 3000, 'CurrentVoltage': 12, 'LoadPercentage': 11, 'NumberOfCores': 6, 'NumberOfLogicalProcessors': 12}
{'Type': 'logical core', 'ProcessorID': 0, 'CoreID': 0, 'PercentProcessorTime': 34, 'PercentInterruptTime': 0, 'PercentDPCTime': 0, 'PercentIdleTime': 65, 'PercentUserTime': 29, 'PercentPrivilegedTime': 5, 'InterruptsPersec': 2408}
{'Type': 'logical core', 'ProcessorID': 0, 'CoreID': 1, 'PercentProcessorTime': 0, 'PercentInterruptTime': 0, 'PercentDPCTime': 0, 'PercentIdleTime': 100, 'PercentUserTime': 0, 'PercentPrivilegedTime': 0, 'InterruptsPersec': 1361}
{'Type': 'logical core', 'ProcessorID': 0, 'CoreID': 10, 'PercentProcessorTime': 0, 'PercentInterruptTime': 0, 'PercentDPCTime': 0, 'PercentIdleTime': 106, 'PercentUserTime': 0, 'PercentPrivilegedTime': 0, 'InterruptsPersec': 18}
{'Type': 'logical core', 'ProcessorID': 0, 'CoreID': 11, 'PercentProcessorTime': 0, 'PercentInterruptTime': 0, 'PercentDPCTime': 0, 'PercentIdleTime': 100, 'PercentUserTime': 0, 'PercentPrivilegedTime': 0, 'InterruptsPersec': 7}
{'Type': 'logical core', 'ProcessorID': 0, 'CoreID': 2, 'PercentProcessorTime': 5, 'PercentInterruptTime': 0, 'PercentDPCTime': 0, 'PercentIdleTime': 94, 'PercentUserTime': 0, 'PercentPrivilegedTime': 5, 'InterruptsPersec': 1915}
{'Type': 'logical core', 'ProcessorID': 0, 'CoreID': 3, 'PercentProcessorTime': 0, 'PercentInterruptTime': 0, 'PercentDPCTime': 0, 'PercentIdleTime': 100, 'PercentUserTime': 5, 'PercentPrivilegedTime': 0, 'InterruptsPersec': 671}
{'Type': 'logical core', 'ProcessorID': 0, 'CoreID': 4, 'PercentProcessorTime': 40, 'PercentInterruptTime': 0, 'PercentDPCTime': 0, 'PercentIdleTime': 59, 'PercentUserTime': 53, 'PercentPrivilegedTime': 0, 'InterruptsPersec': 732}
{'Type': 'logical core', 'ProcessorID': 0, 'CoreID': 5, 'PercentProcessorTime': 0, 'PercentInterruptTime': 0, 'PercentDPCTime': 0, 'PercentIdleTime': 100, 'PercentUserTime': 0, 'PercentPrivilegedTime': 0, 'InterruptsPersec': 409}
{'Type': 'logical core', 'ProcessorID': 0, 'CoreID': 6, 'PercentProcessorTime': 0, 'PercentInterruptTime': 0, 'PercentDPCTime': 0, 'PercentIdleTime': 100, 'PercentUserTime': 0, 'PercentPrivilegedTime': 0, 'InterruptsPersec': 7}
{'Type': 'logical core', 'ProcessorID': 0, 'CoreID': 7, 'PercentProcessorTime': 0, 'PercentInterruptTime': 0, 'PercentDPCTime': 0, 'PercentIdleTime': 100, 'PercentUserTime': 0, 'PercentPrivilegedTime': 0, 'InterruptsPersec': 11}
{'Type': 'logical core', 'ProcessorID': 0, 'CoreID': 8, 'PercentProcessorTime': 0, 'PercentInterruptTime': 0, 'PercentDPCTime': 0, 'PercentIdleTime': 100, 'PercentUserTime': 0, 'PercentPrivilegedTime': 0, 'InterruptsPersec': 7}
{'Type': 'logical core', 'ProcessorID': 0, 'CoreID': 9, 'PercentProcessorTime': 0, 'PercentInterruptTime': 0, 'PercentDPCTime': 0, 'PercentIdleTime': 100, 'PercentUserTime': 0, 'PercentPrivilegedTime': 0, 'InterruptsPersec': 11}
